[BLOCK TYPE;TAG;NEXT BLK;DESCRIPTION;INITIAL SCAN;SCAN TIME;SMOOTHING;I/O DEVICE;H/W OPTIONS;I/O ADDRESS;SIGNAL CONDITIONING;LOW EGU LIMIT;HIGH EGU LIMIT;EGU TAG;INITIAL A/M STATUS;ALARM ENABLE;ALARM AREA(S);LO LO ALARM LIMIT;LO ALARM LIMIT;HI ALARM LIMIT;HI HI ALARM LIMIT;ROC ALARM LIMIT;DEAD BAND;ALARM PRIORITY;ENABLE OUTPUT;SECURITY AREA 1;SECURITY AREA 2;SECURITY AREA 3;ALARM AREA 1;ALARM AREA 2;ALARM AREA 3;ALARM AREA 4;ALARM AREA 5;ALARM AREA 6;ALARM AREA 7;ALARM AREA 8;ALARM AREA 9;ALARM AREA 10;ALARM AREA 11;ALARM AREA 12;ALARM AREA 13;ALARM AREA 14;ALARM AREA 15;USER FIELD 1;USER FIELD 2;ESIG TYPE;ESIG ALLOW CONT USE;ESIG XMPT ALARM ACK;ESIG UNSIGNED WRITES;PDR Update Rate;PDR Access Time;PDR Deadband;PDR Latch;PDR Disable Output;PDR Array Length;Hist Description;Hist Collect;Hist Interval;Hist Offset;Hist Time Res;Hist Compress;Hist Deadband;Hist Comp Type;Hist Comp Time;Scale Enabled;Scale Clamping;Scale Use EGU;Scale Raw Low;Scale Raw High;Scale Low;Scale High]
!A_NAME;A_TAG;A_NEXT;A_DESC;A_ISCAN;A_SCANT;A_SMOTH;A_IODV;A_IOHT;A_IOAD;A_IOSC;A_ELO;A_EHI;A_EGUDESC;A_IAM;A_IENAB;A_ADI;A_LOLO;A_LO;A_HI;A_HIHI;A_ROC;A_DBAND;A_PRI;A_EOUT;A_SA1;A_SA2;A_SA3;A_AREA1;A_AREA2;A_AREA3;A_AREA4;A_AREA5;A_AREA6;A_AREA7;A_AREA8;A_AREA9;A_AREA10;A_AREA11;A_AREA12;A_AREA13;A_AREA14;A_AREA15;A_ALMEXT1;A_ALMEXT2;A_ESIGTYPE;A_ESIGCONT;A_ESIGACK;A_ESIGTRAP;A_PDR_UPDATERATE;A_PDR_ACCESSTIME;A_PDR_DEADBAND;A_PDR_LATCHDATA;A_PDR_DISABLEOUT;A_PDR_ARRAYLENGTH;A_HIST_DESC;A_HIST_COLLECT;A_HIST_INTERVAL;A_HIST_OFFSET;A_HIST_TIMERES;A_HIST_COMPRESS;A_HIST_DEADBAND;A_HIST_COMPTYPE;A_HIST_COMPTIME;A_SCALE_ENABLED;A_SCALE_CLAMP;A_SCALE_USEEGU;A_SCALE_RAWLOW;A_SCALE_RAWHIGH;A_SCALE_LOW;A_SCALE_HIGH!
"AI";"725TC100TD";"";"PID Contoller temp. CIP unit 725 deriv";"ON";"1";"0";"SIX";"";"PLC01:DB0098,D0028";"SINT";"0";"100";"MS";"AUTO";"DISABLE";"NONE";"0";"0";"100";"100";"0";"5";"LOW";"YES";"FP_ADVANCED";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"100"
"AI";"725TC100SP";"725TC100CASP";"PID Contoller temp. CIP unit 725 setpo";"ON";"1";"0";"SIX";"";"PLC01:DB0098,D0006";"FLT";"0";"2 000";"°C";"AUTO";"DISABLE";"NONE";"0";"0";"2 000";"2 000";"0";"100";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"2 000"
"AI";"725TC100PV";"725TC100CAPV";"PID Contoller temp. CIP unit 725 proce";"ON";"1";"0";"SIX";"";"PLC01:DB0098,D0010";"FLT";"0";"2 000";"MS";"AUTO";"DISABLE";"NONE";"0";"0";"2 000";"2 000";"0";"100";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"2 000"
"AI";"725TC100OMIN";"";"PID Contoller temp. CIP unit 725 outpu";"ON";"1";"0";"SIX";"";"PLC01:DB0098,D0044";"FLT";"0";"100";"MS";"AUTO";"DISABLE";"NONE";"0";"0";"100";"100";"0";"5";"LOW";"YES";"FP_ADVANCED";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"100"
"AI";"725TC100OMAX";"";"PID Contoller temp. CIP unit 725 outpu";"ON";"1";"0";"SIX";"";"PLC01:DB0098,D0040";"FLT";"0";"100";"MS";"AUTO";"DISABLE";"NONE";"0";"0";"100";"100";"0";"5";"LOW";"YES";"FP_ADVANCED";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"100"
"AI";"725TC100MAN";"";"PID Contoller temp. CIP unit 725 manue";"ON";"1";"0";"SIX";"";"PLC01:DB0098,D0016";"FLT";"0";"1 000";"%";"AUTO";"DISABLE";"NONE";"0";"0";"1 000";"1 000";"0";"50";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"1 000"
"AI";"725TC100GAIN";"";"PID Contoller temp. CIP unit 725 gain";"ON";"1";"0";"SIX";"";"PLC01:DB0098,D0020";"FLT";"-9 999 999";"9 999 999";"";"AUTO";"DISABLE";"NONE";"-9 999 999";"-9 999 999";"9 999 999";"9 999 999";"0";"1 000 000";"LOW";"YES";"FP_ADVANCED";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"-9 999 999";"9 999 999"
"AI";"725TC100DB";"";"PID Contoller temp. CIP unit 725 dead";"ON";"1";"0";"SIX";"";"PLC01:DB0098,D0036";"FLT";"0";"1 000";"MS";"AUTO";"DISABLE";"NONE";"0";"0";"1 000";"1 000";"0";"50";"LOW";"YES";"FP_ADVANCED";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"1 000"
"AI";"725TC100CV";"725TC100CACV";"PID Contoller temp. CIP unit 725 contr";"ON";"1";"0";"SIX";"";"PLC01:DB0098,D0072";"FLT";"0";"1 000";"%";"AUTO";"DISABLE";"NONE";"0";"0";"1 000";"1 000";"0";"50";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"1 000"
"AI";"725LT100AI";"725LT100CA";"CIP tank";"ON";"1";"0";"SIX";"";"PLC01:DB0046,D0216";"FLT";"0";"1";"L";"AUTO";"DISABLE";"NONE";"0";"0";"1";"1";"0";"0";"LOW";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"YES";"NO";"REJECT";"1 000";"300 000";"0";"NO";"NO";"0";"";"NO";"5 000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0";"65 535";"0";"1"
